identifier,Source,ProteinName,GeneName
sp|P16456|SELD_ECOLI,sp,P16456,SELD
sp|P16525|TUS_ECOLI,sp,P16525,TUS
sp|P16528|ICLR_ECOLI,sp,P16528,ICLR
sp|P16659|SYP_ECOLI,sp,P16659,SYP
sp|P16691|PHNO_ECOLI,sp,P16691,PHNO
sp|P16700|CYSP_ECOLI,sp,P16700,CYSP
sp|P16703|CYSM_ECOLI,sp,P16703,CYSM
sp|P16926|MREC_ECOLI,sp,P16926,MREC
sp|P17109|MEND_ECOLI,sp,P17109,MEND
sp|P17115|GUTQ_ECOLI,sp,P17115,GUTQ
sp|P17117|NFSA_ECOLI,sp,P17117,NFSA
sp|P17169|GLMS_ECOLI,sp,P17169,GLMS
sp|P17443|MURG_ECOLI,sp,P17443,MURG
sp|P17445|BETB_ECOLI,sp,P17445,BETB
sp|P17583|CYNX_ECOLI,sp,P17583,CYNX
sp|P17802|MUTY_ECOLI,sp,P17802,MUTY
sp|P17846|CYSI_ECOLI,sp,P17846,CYSI
sp|P17854|CYSH_ECOLI,sp,P17854,CYSH
sp|P17888|PRIA_ECOLI,sp,P17888,PRIA
sp|P17952|MURC_ECOLI,sp,P17952,MURC
sp|P17993|UBIG_ECOLI,sp,P17993,UBIG
sp|P18133|PNCB_ECOLI,sp,P18133,PNCB
sp|P18196|MINC_ECOLI,sp,P18196,MINC
sp|P18335|ARGD_ECOLI,sp,P18335,ARGD
sp|P18390|YJJA_ECOLI,sp,P18390,YJJA
sp|P18392|RSTB_ECOLI,sp,P18392,RSTB
sp|P18775|DMSA_ECOLI,sp,P18775,DMSA
sp|P18776|DMSB_ECOLI,sp,P18776,DMSB
sp|P18777|DMSC_ECOLI;sp|P76173|YNFH_ECOLI,sp,P18777,DMSC
sp|P18843|NADE_ECOLI,sp,P18843,NADE
sp|P18956|GGT_ECOLI,sp,P18956,GGT
sp|P19318|NARY_ECOLI,sp,P19318,NARY
sp|P19319|NARZ_ECOLI,sp,P19319,NARZ
sp|P19323|FHLA_ECOLI,sp,P19323,FHLA
sp|P19624|PDXA_ECOLI,sp,P19624,PDXA
sp|P19926|AGP_ECOLI,sp,P19926,AGP
sp|P19930|HYAD_ECOLI,sp,P19930,HYAD
sp|P19931|HYAE_ECOLI,sp,P19931,HYAE
sp|P19932|HYAF_ECOLI,sp,P19932,HYAF
sp|P19934|TOLA_ECOLI,sp,P19934,TOLA
sp|P20083|PARE_ECOLI,sp,P20083,PARE
sp|P20099|BISC_ECOLI,sp,P20099,BISC
sp|P20605|FIC_ECOLI,sp,P20605,FIC
sp|P20966|PTFBC_ECOLI,sp,P20966,PTFBC
sp|P21156|CYSD_ECOLI,sp,P21156,CYSD
sp|P21165|PEPQ_ECOLI,sp,P21165,PEPQ
sp|P21169|DCOR_ECOLI,sp,P21169,DCOR
sp|P21170|SPEA_ECOLI,sp,P21170,SPEA
sp|P21179|CATE_ECOLI,sp,P21179,CATE
sp|P21189|DPO2_ECOLI,sp,P21189,DPO2
sp|P21338|RNI_ECOLI,sp,P21338,RNI
sp|P21345|GLTP_ECOLI,sp,P21345,GLTP
sp|P21365|YCIC_ECOLI,sp,P21365,YCIC
sp|P21369|PNCA_ECOLI,sp,P21369,PNCA
sp|P21499|RNR_ECOLI,sp,P21499,RNR
sp|P21507|SRMB_ECOLI,sp,P21507,SRMB
sp|P21513|RNE_ECOLI,sp,P21513,RNE
sp|P21514|PDEL_ECOLI,sp,P21514,PDEL
sp|P21515|ACPH_ECOLI,sp,P21515,ACPH
sp|P21517|MALZ_ECOLI,sp,P21517,MALZ
sp|P21599|KPYK2_ECOLI,sp,P21599,KPYK2
sp|P21645|LPXD_ECOLI,sp,P21645,LPXD
sp|P21829|YBHA_ECOLI,sp,P21829,YBHA
sp|P21865|KDPD_ECOLI,sp,P21865,KDPD
sp|P21866|KDPE_ECOLI,sp,P21866,KDPE
sp|P21888|SYC_ECOLI,sp,P21888,SYC
sp|P21889|SYD_ECOLI,sp,P21889,SYD
sp|P21893|RECJ_ECOLI,sp,P21893,RECJ
sp|P22106|ASNB_ECOLI,sp,P22106,ASNB
sp|P22186|MRAZ_ECOLI,sp,P22186,MRAZ
sp|P22188|MURE_ECOLI,sp,P22188,MURE
sp|P22255|CYSQ_ECOLI,sp,P22255,CYSQ
sp|P22256|GABT_ECOLI,sp,P22256,GABT
sp|P22259|PCKA_ECOLI,sp,P22259,PCKA
sp|P22333|ADD_ECOLI,sp,P22333,ADD
sp|P22523|MUKB_ECOLI,sp,P22523,MUKB
sp|P22524|MUKE_ECOLI,sp,P22524,MUKE
sp|P22525|YCBB_ECOLI,sp,P22525,YCBB
sp|P22564|RIHC_ECOLI,sp,P22564,RIHC
sp|P22634|MURI_ECOLI,sp,P22634,MURI
sp|P22939|ISPA_ECOLI,sp,P22939,ISPA
sp|P23003|TRMA_ECOLI,sp,P23003,TRMA
sp|P23256|MALY_ECOLI,sp,P23256,MALY
sp|P23305|YIGA_ECOLI,sp,P23305,YIGA
sp|P23331|KITH_ECOLI,sp,P23331,KITH
sp|P23367|MUTL_ECOLI,sp,P23367,MUTL
sp|P23522|GARL_ECOLI,sp,P23522,GARL
sp|P23538|PPSA_ECOLI,sp,P23538,PPSA
sp|P23721|SERC_ECOLI,sp,P23721,SERC
sp|P23827|ECOT_ECOLI,sp,P23827,ECOT
sp|P23830|PSS_ECOLI,sp,P23830,PSS
sp|P23836|PHOP_ECOLI,sp,P23836,PHOP
sp|P23837|PHOQ_ECOLI,sp,P23837,PHOQ
sp|P23839|YICC_ECOLI,sp,P23839,YICC
sp|P23842|PDEA_ECOLI,sp,P23842,PDEA
sp|P23843|OPPA_ECOLI,sp,P23843,OPPA
sp|P23845|CYSN_ECOLI,sp,P23845,CYSN
sp|P23847|DPPA_ECOLI,sp,P23847,DPPA
sp|P23862|PRIC_ECOLI,sp,P23862,PRIC
sp|P23865|PRC_ECOLI,sp,P23865,PRC
sp|P23869|PPIB_ECOLI,sp,P23869,PPIB
sp|P23871|HEMH_ECOLI,sp,P23871,HEMH
sp|P23872|AES_ECOLI,sp,P23872,AES
sp|P23874|HIPA_ECOLI,sp,P23874,HIPA
sp|P23882|FMT_ECOLI,sp,P23882,FMT
sp|P23886|CYDC_ECOLI,sp,P23886,CYDC
sp|P23890|CADC_ECOLI,sp,P23890,CADC
sp|P23893|GSA_ECOLI,sp,P23893,GSA
sp|P23894|HTPX_ECOLI,sp,P23894,HTPX
sp|P23908|ARGE_ECOLI,sp,P23908,ARGE
sp|P23909|MUTS_ECOLI,sp,P23909,MUTS
sp|P23917|MAK_ECOLI,sp,P23917,MAK
sp|P23930|LNT_ECOLI,sp,P23930,LNT
sp|P24169|DCOS_ECOLI,sp,P24169,DCOS
sp|P24171|DCP_ECOLI,sp,P24171,DCP
sp|P24173|RFAC_ECOLI,sp,P24173,RFAC
sp|P24178|YFFB_ECOLI,sp,P24178,YFFB
sp|P24182|ACCC_ECOLI,sp,P24182,ACCC
sp|P24183|FDNG_ECOLI,sp,P24183,FDNG
sp|P24186|FOLD_ECOLI,sp,P24186,FOLD
sp|P24192|HYPD_ECOLI,sp,P24192,HYPD
sp|P24193|HYPE_ECOLI,sp,P24193,HYPE
sp|P24203|YJIA_ECOLI,sp,P24203,YJIA
sp|P24205|LPXM_ECOLI,sp,P24205,LPXM
sp|P24207|PHEP_ECOLI,sp,P24207,PHEP
sp|P24215|UXUA_ECOLI,sp,P24215,UXUA
sp|P24216|FLID_ECOLI,sp,P24216,FLID
sp|P24224|ACPS_ECOLI,sp,P24224,ACPS
sp|P24228|DACB_ECOLI,sp,P24228,DACB
sp|P24230|RECG_ECOLI,sp,P24230,RECG
sp|P24232|HMP_ECOLI,sp,P24232,HMP
sp|P24251|CRL_ECOLI,sp,P24251,CRL
sp|P24252|YBGA_ECOLI,sp,P24252,YBGA
sp|P24255|RP54_ECOLI,sp,P24255,RP54
sp|P24554|RADA_ECOLI,sp,P24554,RADA
sp|P24555|PTRB_ECOLI,sp,P24555,PTRB
sp|P25397|TEHB_ECOLI,sp,P25397,TEHB
sp|P25437|FRMA_ECOLI,sp,P25437,FRMA
sp|P25516|ACNA_ECOLI,sp,P25516,ACNA
sp|P25519|HFLX_ECOLI,sp,P25519,HFLX
sp|P25522|MNME_ECOLI,sp,P25522,MNME
sp|P25524|CODA_ECOLI,sp,P25524,CODA
sp|P25526|GABD_ECOLI,sp,P25526,GABD
sp|P25534|UBIH_ECOLI,sp,P25534,UBIH
sp|P25535|UBII_ECOLI,sp,P25535,UBII
sp|P25536|NTPPA_ECOLI,sp,P25536,NTPPA
sp|P25539|RIBD_ECOLI,sp,P25539,RIBD
sp|P25552|GPPA_ECOLI,sp,P25552,GPPA
sp|P25665|METE_ECOLI,sp,P25665,METE
sp|P25714|YIDC_ECOLI,sp,P25714,YIDC
sp|P25728|YGBA_ECOLI,sp,P25728,YGBA
sp|P25736|END1_ECOLI,sp,P25736,END1
sp|P25737|LYSP_ECOLI,sp,P25737,LYSP
sp|P25738|MSYB_ECOLI,sp,P25738,MSYB
sp|P25740|RFAG_ECOLI,sp,P25740,RFAG
sp|P25741|RFAP_ECOLI,sp,P25741,RFAP
sp|P25743|YCHE_ECOLI,sp,P25743,YCHE
sp|P25745|MNMA_ECOLI,sp,P25745,MNMA
sp|P25746|HFLD_ECOLI,sp,P25746,HFLD
sp|P25798|FLIF_ECOLI,sp,P25798,FLIF
sp|P25888|RHLE_ECOLI,sp,P25888,RHLE
sp|P25889|PREA_ECOLI,sp,P25889,PREA
sp|P25894|LOIP_ECOLI,sp,P25894,LOIP
sp|P25906|PDXI_ECOLI,sp,P25906,PDXI
sp|P26365|AMIB_ECOLI,sp,P26365,AMIB
sp|P26458|APPB_ECOLI,sp,P26458,APPB
sp|P26459|APPC_ECOLI,sp,P26459,APPC
sp|P26602|UBIC_ECOLI,sp,P26602,UBIC
sp|P26612|AMY2_ECOLI,sp,P26612,AMY2
sp|P26616|MAO1_ECOLI,sp,P26616,MAO1
sp|P26646|ACUI_ECOLI,sp,P26646,ACUI
sp|P26647|PLSC_ECOLI,sp,P26647,PLSC
sp|P26648|FTSP_ECOLI,sp,P26648,FTSP
sp|P27126|RFAS_ECOLI,sp,P27126,RFAS
sp|P27127|RFAB_ECOLI,sp,P27127,RFAB
sp|P27128|RFAI_ECOLI,sp,P27128,RFAI
sp|P27129|RFAJ_ECOLI,sp,P27129,RFAJ
sp|P27238|YFED_ECOLI,sp,P27238,YFED
sp|P27240|RFAY_ECOLI,sp,P27240,RFAY
sp|P27241|RFAZ_ECOLI,sp,P27241,RFAZ
sp|P27245|MARR_ECOLI,sp,P27245,MARR
sp|P27247|PLSX_ECOLI,sp,P27247,PLSX
sp|P27248|GCST_ECOLI,sp,P27248,GCST
sp|P27249|GLND_ECOLI,sp,P27249,GLND
sp|P27250|AHR_ECOLI,sp,P27250,AHR
sp|P27253|SCPA_ECOLI,sp,P27253,SCPA
sp|P27278|NADR_ECOLI,sp,P27278,NADR
sp|P27296|DING_ECOLI,sp,P27296,DING
sp|P27298|OPDA_ECOLI,sp,P27298,OPDA
sp|P27300|LPXK_ECOLI,sp,P27300,LPXK
sp|P27302|TKT1_ECOLI,sp,P27302,TKT1
sp|P27303|EMRA_ECOLI,sp,P27303,EMRA
sp|P27305|GLUQ_ECOLI,sp,P27305,GLUQ
sp|P27306|STHA_ECOLI,sp,P27306,STHA
sp|P27431|ROXA_ECOLI,sp,P27431,ROXA
sp|P27434|RODZ_ECOLI,sp,P27434,RODZ
sp|P27828|WECB_ECOLI,sp,P27828,WECB
sp|P27829|WECC_ECOLI,sp,P27829,WECC
sp|P27830|RMLB2_ECOLI,sp,P27830,RMLB2
sp|P27832|WECD_ECOLI,sp,P27832,WECD
sp|P27833|WECE_ECOLI,sp,P27833,WECE
sp|P27836|WECG_ECOLI,sp,P27836,WECG
sp|P27837|YIFK_ECOLI,sp,P27837,YIFK
sp|P27838|CYAY_ECOLI,sp,P27838,CYAY
sp|P27848|YIGL_ECOLI,sp,P27848,YIGL
sp|P27859|TATD_ECOLI,sp,P27859,TATD
sp|P27862|YIGZ_ECOLI,sp,P27862,YIGZ
sp|P27896|NARQ_ECOLI,sp,P27896,NARQ
sp|P28246|BCR_ECOLI,sp,P28246,BCR
sp|P28248|DCD_ECOLI,sp,P28248,DCD
sp|P28249|ASMA_ECOLI,sp,P28249,ASMA
sp|P28304|QOR1_ECOLI,sp,P28304,QOR1
sp|P28305|PABC_ECOLI,sp,P28305,PABC
sp|P28306|MLTG_ECOLI,sp,P28306,MLTG
sp|P28629|ADIA_ECOLI,sp,P28629,ADIA
sp|P28630|HOLA_ECOLI,sp,P28630,HOLA
sp|P28631|HOLB_ECOLI,sp,P28631,HOLB
sp|P28632|HOLD_ECOLI,sp,P28632,HOLD
sp|P28634|TRMO_ECOLI,sp,P28634,TRMO
sp|P28635|METQ_ECOLI,sp,P28635,METQ
sp|P28722|YHCA_ECOLI,sp,P28722,YHCA
sp|P28861|FENR_ECOLI,sp,P28861,FENR
sp|P28903|NRDD_ECOLI,sp,P28903,NRDD
sp|P28904|TREC_ECOLI,sp,P28904,TREC
sp|P28905|HOLC_ECOLI,sp,P28905,HOLC
sp|P29018|CYDD_ECOLI,sp,P29018,CYDD
sp|P29131|FTSN_ECOLI,sp,P29131,FTSN
sp|P29208|MENC_ECOLI,sp,P29208,MENC
sp|P29217|YCEH_ECOLI,sp,P29217,YCEH
sp|P29680|DCUP_ECOLI,sp,P29680,DCUP
sp|P29744|FLGL_ECOLI,sp,P29744,FLGL
sp|P29745|PEPT_ECOLI,sp,P29745,PEPT
sp|P30011|NADC_ECOLI,sp,P30011,NADC
sp|P30014|RNT_ECOLI,sp,P30014,RNT
sp|P30125|LEU3_ECOLI,sp,P30125,LEU3
sp|P30126|LEUD_ECOLI,sp,P30126,LEUD
sp|P30128|GREB_ECOLI,sp,P30128,GREB
sp|P30131|HYPF_ECOLI,sp,P30131,HYPF
sp|P30177|YBIB_ECOLI,sp,P30177,YBIB
sp|P30178|HCXB_ECOLI,sp,P30178,HCXB
sp|P30744|SDHM_ECOLI,sp,P30744,SDHM
sp|P30745|MOAA_ECOLI,sp,P30745,MOAA
sp|P30748|MOAD_ECOLI,sp,P30748,MOAD
sp|P30749|MOAE_ECOLI,sp,P30749,MOAE
sp|P30750|METN_ECOLI,sp,P30750,METN
sp|P30843|BASR_ECOLI,sp,P30843,BASR
sp|P30844|BASS_ECOLI,sp,P30844,BASS
sp|P30847|BAES_ECOLI,sp,P30847,BAES
sp|P30850|RNB_ECOLI,sp,P30850,RNB
sp|P30855|EVGS_ECOLI,sp,P30855,EVGS
sp|P30859|ARTI_ECOLI,sp,P30859,ARTI
sp|P30860|ARTJ_ECOLI,sp,P30860,ARTJ
sp|P30864|YAFC_ECOLI,sp,P30864,YAFC
sp|P30870|GLNE_ECOLI,sp,P30870,GLNE
sp|P30871|3PASE_ECOLI,sp,P30871,3PASE
sp|P30958|MFD_ECOLI,sp,P30958,MFD
sp|P31057|PANB_ECOLI,sp,P31057,PANB
sp|P31060|MODF_ECOLI,sp,P31060,MODF
sp|P31069|KCH_ECOLI,sp,P31069,KCH
sp|P31119|AAS_ECOLI,sp,P31119,AAS
sp|P31120|GLMM_ECOLI,sp,P31120,GLMM
sp|P31122|SOTB_ECOLI,sp,P31122,SOTB
sp|P31133|POTF_ECOLI,sp,P31133,POTF
sp|P31142|THTM_ECOLI,sp,P31142,THTM
sp|P31224|ACRB_ECOLI,sp,P31224,ACRB
sp|P31433|YICH_ECOLI,sp,P31433,YICH
sp|P31442|EMRD_ECOLI,sp,P31442,EMRD
sp|P31455|YIDR_ECOLI,sp,P31455,YIDR
sp|P31460|DGOR_ECOLI,sp,P31460,DGOR
sp|P31467|YIEH_ECOLI,sp,P31467,YIEH
sp|P31473|RAVA_ECOLI,sp,P31473,RAVA
sp|P31475|YIEP_ECOLI,sp,P31475,YIEP
sp|P31547|METI_ECOLI,sp,P31547,METI
sp|P31548|THIQ_ECOLI,sp,P31548,THIQ
sp|P31550|THIB_ECOLI,sp,P31550,THIB
sp|P31551|CAID_ECOLI,sp,P31551,CAID
sp|P31554|LPTD_ECOLI,sp,P31554,LPTD
sp|P31572|CAIB_ECOLI,sp,P31572,CAIB
sp|P31600|NFRA_ECOLI,sp,P31600,NFRA
sp|P31658|HCHA_ECOLI,sp,P31658,HCHA
sp|P31663|PANC_ECOLI,sp,P31663,PANC
sp|P31666|YADE_ECOLI,sp,P31666,YADE
sp|P31677|OTSA_ECOLI,sp,P31677,OTSA
sp|P31678|OTSB_ECOLI,sp,P31678,OTSB
sp|P31680|DJLA_ECOLI,sp,P31680,DJLA
sp|P31801|CHAA_ECOLI,sp,P31801,CHAA
sp|P31802|NARP_ECOLI,sp,P31802,NARP
sp|P31806|NNR_ECOLI,sp,P31806,NNR
sp|P31808|YCIK_ECOLI,sp,P31808,YCIK
sp|P31825|TRMN6_ECOLI,sp,P31825,TRMN6
sp|P31828|PQQL_ECOLI,sp,P31828,PQQL
sp|P31979|NUOF_ECOLI,sp,P31979,NUOF
sp|P32099|LPLA_ECOLI,sp,P32099,LPLA
sp|P32125|MOBB_ECOLI,sp,P32125,MOBB
sp|P32131|HEMN_ECOLI,sp,P32131,HEMN
sp|P32144|CSQR_ECOLI,sp,P32144,CSQR
sp|P32157|YIIM_ECOLI,sp,P32157,YIIM
sp|P32160|YIIQ_ECOLI,sp,P32160,YIIQ
sp|P32162|YIIS_ECOLI,sp,P32162,YIIS
sp|P32166|MENA_ECOLI,sp,P32166,MENA
sp|P32169|RHAD_ECOLI,sp,P32169,RHAD
sp|P32173|MOBA_ECOLI,sp,P32173,MOBA
sp|P32176|FDOG_ECOLI,sp,P32176,FDOG
sp|P32177|FDHD_ECOLI,sp,P32177,FDHD
sp|P32662|GPH_ECOLI,sp,P32662,GPH
sp|P32664|NUDC_ECOLI,sp,P32664,NUDC
sp|P32669|FSAB_ECOLI,sp,P32669,FSAB
sp|P32670|PTFX2_ECOLI,sp,P32670,PTFX2
sp|P32677|YIJO_ECOLI,sp,P32677,YIJO
sp|P32680|YJAG_ECOLI,sp,P32680,YJAG
sp|P32681|YJAH_ECOLI,sp,P32681,YJAH
sp|P32684|RLUF_ECOLI,sp,P32684,RLUF
sp|P32695|DUSA_ECOLI,sp,P32695,DUSA
sp|P32703|YJCE_ECOLI,sp,P32703,YJCE
sp|P33018|SFGH2_ECOLI,sp,P33018,SFGH2
sp|P33030|YEIR_ECOLI,sp,P33030,YEIR
sp|P33136|OPGG_ECOLI,sp,P33136,OPGG
sp|P33195|GCSP_ECOLI,sp,P33195,GCSP
sp|P33218|YEBE_ECOLI,sp,P33218,YEBE
sp|P33221|PURT_ECOLI,sp,P33221,PURT
sp|P33224|AIDB_ECOLI,sp,P33224,AIDB
sp|P33225|TORA_ECOLI,sp,P33225,TORA
sp|P33226|TORC_ECOLI,sp,P33226,TORC
sp|P33232|LLDD_ECOLI,sp,P33232,LLDD
sp|P33234|ADIY_ECOLI,sp,P33234,ADIY
sp|P33235|FLGK_ECOLI,sp,P33235,FLGK
sp|P33355|YEHS_ECOLI,sp,P33355,YEHS
sp|P33360|YEHX_ECOLI,sp,P33360,YEHX
sp|P33362|YEHZ_ECOLI,sp,P33362,YEHZ
sp|P33363|BGLX_ECOLI,sp,P33363,BGLX
sp|P33368|YOHF_ECOLI,sp,P33368,YOHF
sp|P33570|TKT2_ECOLI,sp,P33570,TKT2
sp|P33590|NIKA_ECOLI,sp,P33590,NIKA
sp|P33591|NIKB_ECOLI,sp,P33591,NIKB
sp|P33593|NIKD_ECOLI,sp,P33593,NIKD
sp|P33594|NIKE_ECOLI,sp,P33594,NIKE
sp|P33596|RECX_ECOLI,sp,P33596,RECX
sp|P33599|NUOCD_ECOLI,sp,P33599,NUOCD
sp|P33602|NUOG_ECOLI,sp,P33602,NUOG
sp|P33607|NUOL_ECOLI,sp,P33607,NUOL
sp|P33643|RLUD_ECOLI,sp,P33643,RLUD
sp|P33644|PURNU_ECOLI,sp,P33644,PURNU
sp|P33650|FEOB_ECOLI,sp,P33650,FEOB
sp|P33667|SELU_ECOLI,sp,P33667,SELU
sp|P33913|YEJA_ECOLI,sp,P33913,YEJA
sp|P33916|YEJF_ECOLI,sp,P33916,YEJF
sp|P33919|RADD_ECOLI,sp,P33919,RADD
sp|P33920|NDPA_ECOLI,sp,P33920,NDPA
sp|P33927|CCMF_ECOLI,sp,P33927,CCMF
sp|P33937|NAPA_ECOLI,sp,P33937,NAPA
sp|P34209|YDCF_ECOLI,sp,P34209,YDCF
sp|P35340|AHPF_ECOLI,sp,P35340,AHPF
sp|P36548|AMIA_ECOLI,sp,P36548,AMIA
sp|P36553|HEM6_ECOLI,sp,P36553,HEM6
sp|P36561|COBS_ECOLI,sp,P36561,COBS
sp|P36562|COBT_ECOLI,sp,P36562,COBT
sp|P36566|CMOM_ECOLI,sp,P36566,CMOM
sp|P36649|CUEO_ECOLI,sp,P36649,CUEO
sp|P36655|DSBD_ECOLI,sp,P36655,DSBD
sp|P36659|CBPA_ECOLI,sp,P36659,CBPA
sp|P36662|TORD_ECOLI,sp,P36662,TORD
sp|P36672|PTTBC_ECOLI,sp,P36672,PTTBC
sp|P36673|TRER_ECOLI,sp,P36673,TRER
sp|P36677|YHDN_ECOLI,sp,P36677,YHDN
sp|P36680|ZAPD_ECOLI,sp,P36680,ZAPD
sp|P36683|ACNB_ECOLI,sp,P36683,ACNB
sp|P36767|RDGC_ECOLI,sp,P36767,RDGC
sp|P36771|LRHA_ECOLI,sp,P36771,LRHA
sp|P36837|DTPB_ECOLI,sp,P36837,DTPB
sp|P36879|YADG_ECOLI,sp,P36879,YADG
sp|P36928|YEGD_ECOLI,sp,P36928,YEGD
sp|P36929|RSMB_ECOLI,sp,P36929,RSMB
sp|P36930|GATR_ECOLI,sp,P36930,GATR
sp|P36938|PGM_ECOLI,sp,P36938,PGM
sp|P36943|EAEH_ECOLI,sp,P36943,EAEH
sp|P36979|RLMN_ECOLI,sp,P36979,RLMN
sp|P36995|CSPB_ECOLI,sp,P36995,CSPB
sp|P36999|RLMA_ECOLI,sp,P36999,RLMA
sp|P37002|FLUC_ECOLI,sp,P37002,FLUC
sp|P37005|LAST_ECOLI,sp,P37005,LAST
sp|P37013|NORR_ECOLI,sp,P37013,NORR
sp|P37019|CLCA_ECOLI,sp,P37019,CLCA
sp|P37024|HRPB_ECOLI,sp,P37024,HRPB
sp|P37025|THPR_ECOLI,sp,P37025,THPR
sp|P37028|BTUF_ECOLI,sp,P37028,BTUF
sp|P37047|CDAR_ECOLI,sp,P37047,CDAR
sp|P37051|PURU_ECOLI,sp,P37051,PURU
sp|P37095|PEPB_ECOLI,sp,P37095,PEPB
sp|P37127|AEGA_ECOLI,sp,P37127,AEGA
sp|P37128|NUDK_ECOLI,sp,P37128,NUDK
sp|P37147|FXSA_ECOLI,sp,P37147,FXSA
sp|P37177|PT1P_ECOLI,sp,P37177,PT1P
sp|P37180|HYBB_ECOLI,sp,P37180,HYBB
sp|P37182|HYBD_ECOLI,sp,P37182,HYBD
sp|P37194|SLP_ECOLI,sp,P37194,SLP
sp|P37195|DCTR_ECOLI,sp,P37195,DCTR
sp|P37197|YHJA_ECOLI,sp,P37197,YHJA
sp|P37325|YBCH_ECOLI,sp,P37325,YBCH
sp|P37326|INTS_ECOLI,sp,P37326,INTS
sp|P37327|YFDC_ECOLI,sp,P37327,YFDC
sp|P37329|MODA_ECOLI,sp,P37329,MODA
sp|P37330|MASZ_ECOLI,sp,P37330,MASZ
sp|P37340|MDTK_ECOLI,sp,P37340,MDTK
sp|P37342|YJJI_ECOLI,sp,P37342,YJJI
sp|P37344|PSPF_ECOLI,sp,P37344,PSPF
sp|P37349|DHAM_ECOLI,sp,P37349,DHAM
sp|P37353|MENE_ECOLI,sp,P37353,MENE
sp|P37440|UCPA_ECOLI,sp,P37440,UCPA
sp|P37595|IAAA_ECOLI,sp,P37595,IAAA
sp|P37597|YDHC_ECOLI,sp,P37597,YDHC
sp|P37610|TAUD_ECOLI,sp,P37610,TAUD
sp|P37613|PANZ_ECOLI,sp,P37613,PANZ
sp|P37615|YHHM_ECOLI,sp,P37615,YHHM
sp|P37617|ZNTA_ECOLI,sp,P37617,ZNTA
sp|P37623|ACPT_ECOLI,sp,P37623,ACPT
sp|P37624|RBBA_ECOLI,sp,P37624,RBBA
sp|P37626|YHII_ECOLI,sp,P37626,YHII
sp|P37631|YHIN_ECOLI,sp,P37631,YHIN
sp|P37634|RLMJ_ECOLI,sp,P37634,RLMJ
sp|P37636|MDTE_ECOLI,sp,P37636,MDTE
sp|P37637|MDTF_ECOLI,sp,P37637,MDTF
sp|P37639|GADX_ECOLI,sp,P37639,GADX
sp|P37641|YHJC_ECOLI,sp,P37641,YHJC
sp|P37642|YHJD_ECOLI,sp,P37642,YHJD
sp|P37645|YHJG_ECOLI,sp,P37645,YHJG
sp|P37647|KDGK_ECOLI,sp,P37647,KDGK
sp|P37648|YHJJ_ECOLI,sp,P37648,YHJJ
sp|P37649|PDEK_ECOLI,sp,P37649,PDEK
sp|P37650|BCSC_ECOLI,sp,P37650,BCSC
sp|P37651|GUN_ECOLI,sp,P37651,GUN
sp|P37652|BCSB_ECOLI,sp,P37652,BCSB
sp|P37653|BCSA_ECOLI,sp,P37653,BCSA
sp|P37655|BCSQP_ECOLI,sp,P37655,BCSQP
sp|P37657|BCSE_ECOLI,sp,P37657,BCSE
sp|P37659|BCSG_ECOLI,sp,P37659,BCSG
sp|P37661|EPTB_ECOLI,sp,P37661,EPTB
sp|P37664|YIAC_ECOLI,sp,P37664,YIAC
sp|P37665|YIAD_ECOLI,sp,P37665,YIAD
sp|P37666|GHRB_ECOLI,sp,P37666,GHRB
sp|P37671|YIAJ_ECOLI,sp,P37671,YIAJ
sp|P37672|DLGD_ECOLI,sp,P37672,DLGD
sp|P37678|SGBH_ECOLI,sp,P37678,SGBH
sp|P37685|ALDB_ECOLI,sp,P37685,ALDB
sp|P37686|ADH2_ECOLI,sp,P37686,ADH2
sp|P37689|GPMI_ECOLI,sp,P37689,GPMI
sp|P37690|ENVC_ECOLI,sp,P37690,ENVC
sp|P37691|YIBQ_ECOLI,sp,P37691,YIBQ
sp|P37692|RFAF_ECOLI,sp,P37692,RFAF
sp|P37765|RLUB_ECOLI,sp,P37765,RLUB
sp|P37767|YFHH_ECOLI,sp,P37767,YFHH
sp|P37773|MPL_ECOLI,sp,P37773,MPL
sp|P37774|TCYN_ECOLI,sp,P37774,TCYN
sp|P37902|GLTI_ECOLI,sp,P37902,GLTI
sp|P37903|USPF_ECOLI,sp,P37903,USPF
sp|P37908|YFJD_ECOLI,sp,P37908,YFJD
sp|P38051|MENF_ECOLI,sp,P38051,MENF
sp|P38134|ETK_ECOLI,sp,P38134,ETK
sp|P38489|NFSB_ECOLI,sp,P38489,NFSB
sp|P38506|XNI_ECOLI,sp,P38506,XNI
sp|P38521|YGGL_ECOLI,sp,P38521,YGGL
sp|P39099|DEGQ_ECOLI,sp,P39099,DEGQ
sp|P39160|UXUB_ECOLI,sp,P39160,UXUB
sp|P39161|UXUR_ECOLI,sp,P39161,UXUR
sp|P39172|ZNUA_ECOLI,sp,P39172,ZNUA
sp|P39173|YEAD_ECOLI,sp,P39173,YEAD
sp|P39176|ERFK_ECOLI,sp,P39176,ERFK
sp|P39177|USPG_ECOLI,sp,P39177,USPG
sp|P39196|LPLT_ECOLI,sp,P39196,LPLT
sp|P39199|PRMB_ECOLI,sp,P39199,PRMB
sp|P39263|YFCC_ECOLI,sp,P39263,YFCC
sp|P39265|ALSB_ECOLI,sp,P39265,ALSB
sp|P39280|EPMB_ECOLI,sp,P39280,EPMB
